"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RGS1",0,2.12095253901489,0.853,0.307,0
"FRMD4A",0,2.60996847169335,0.837,0.343,0
"TIMP1",0,-4.06841799214828,0.218,0.691,0
"PID1",0,-3.67699945709956,0.108,0.578,0
"S100A9",0,-3.9191601958954,0.161,0.629,0
"FCN1",0,-4.91514537961414,0.029,0.398,0
"CD36",0,-3.87179536872224,0.035,0.39,0
"LYVE1",0,-7.58966155533372,0.01,0.353,0
"SDC2",7.74904596116814e-287,-5.50278201797407,0.011,0.28,2.56578660820238e-282
"CLEC10A",2.08289814736063e-268,-4.75073717826527,0.016,0.282,6.89668405572578e-264
"THBS1",2.93155097610765e-264,-7.91770029791583,0.004,0.23,9.70665843699005e-260
"JUN",1.90915389341304e-256,1.75210943471896,0.9,0.629,6.3213994564799e-252
"HLA-DQA1",6.6783687395497e-254,2.46355747028123,0.822,0.457,2.2112746733523e-249
"CFP",1.26155334679083e-246,-7.14821281051362,0.002,0.21,4.17712928655913e-242
"KCNQ3",2.71268500029617e-241,4.86369990721642,0.53,0.038,8.98197130448064e-237
"ACTB",6.08046981336299e-228,-1.36625827429233,0.81,0.928,2.01330435990262e-223
"CEBPB",6.27045377480064e-223,-2.14436318441498,0.341,0.714,2.07620994937424e-218
"LYZ",2.79457990290407e-222,-2.53316130143998,0.413,0.746,9.25313351650567e-218
"VCAN",2.27591346617272e-220,-3.80466418584418,0.072,0.382,7.53577707784451e-216
"ACTG1",1.44878732204997e-215,-1.5434366718263,0.543,0.837,4.79707970203965e-211
"C3",1.97237248680191e-214,2.58167214325179,0.597,0.127,6.5307225410498e-210
"RPS27A",1.34070652780062e-213,-1.3602178456551,0.622,0.886,4.43921338420063e-209
"CFD",2.33436113997845e-211,-2.78558613461116,0.112,0.457,7.72930317058266e-207
"PLXDC2",1.540539579482e-208,1.24294718504713,0.959,0.875,5.10088060162284e-204
"SFMBT2",2.93203764727542e-207,1.64032154182445,0.831,0.514,9.70826985389364e-203
"PFDN5",8.63362571305109e-206,-1.46277816540413,0.511,0.819,2.85867980984835e-201
"APOE",4.70460413842284e-204,1.25852898863023,0.765,0.318,1.55774147627319e-199
"TPT1",1.49232954301474e-203,-1.02974878360374,0.885,0.946,4.9412523498761e-199
"CD74",1.5275632901449e-203,1.12452674515877,0.973,0.885,5.05791480999878e-199
"AFF3",1.77127022323842e-203,-3.21115769282297,0.05,0.326,5.86485283616472e-199
"OAZ1",1.94445650908287e-202,-1.32358840848682,0.593,0.856,6.43828994722428e-198
"CD300E",4.58394325408402e-202,-3.82367969645841,0.034,0.282,1.51778945085976e-197
"DOCK4",2.04308821971635e-198,1.23872106070529,0.96,0.744,6.7648694043028e-194
"RPL21",8.97707809806542e-198,-1.4426334345559,0.551,0.833,2.97240032905044e-193
"MALAT1",6.01681559308038e-192,0.699283270394664,0.998,0.979,1.99222781102484e-187
"ARHGAP24",1.16129910104557e-187,1.84589064771283,0.747,0.358,3.84517745347198e-183
"CR1",2.27799053662391e-186,-2.82109574993017,0.044,0.298,7.54265446581543e-182
"FMNL2",4.42818470292727e-185,1.45114415588619,0.881,0.609,1.46621623698625e-180
"RPS24",1.5241932819835e-183,-1.12427602325035,0.738,0.905,5.04675637597555e-179
"MT-ATP8",7.42636856613756e-183,1.78306629436114,0.723,0.385,2.45894489593381e-178
"RPL9",2.00458216022409e-182,-1.1641006466468,0.65,0.873,6.63737199071797e-178
"RPS12",2.90237390426715e-182,-1.22507250541117,0.682,0.885,9.61005023441894e-178
"DLEU1",6.04455037447974e-181,2.21593196223931,0.661,0.279,2.00141107449399e-176
"FKBP1A",1.21075892366468e-180,-2.00583369458625,0.191,0.538,4.00894387214611e-176
"TANC2",1.67443628872585e-180,1.99507592562812,0.709,0.38,5.54422599560015e-176
"ADAM28",6.98885417301388e-180,2.36266672874665,0.612,0.205,2.31407950522663e-175
"IGHG4",1.0121461980901e-178,5.90356785067783,0.405,0.009,3.35131727649612e-174
"RPS3A",2.4829844573417e-178,-1.30075613428808,0.617,0.876,8.22140983670409e-174
"TMSB4X",1.41967650216526e-177,-0.995822601205525,0.934,0.951,4.7006908663194e-173
"NCKAP5",2.45044578281684e-177,2.95206872163949,0.48,0.062,8.11367103148485e-173
"CADM1",4.86373972268612e-173,2.17405797727071,0.601,0.195,1.6104328595786e-168
"FTH1",1.15168755106925e-172,-1.38586770249535,0.935,0.954,3.8133526503454e-168
"RPL13",8.4033574367793e-172,-0.94859772258135,0.811,0.951,2.78243568089199e-167
"RPL30",9.51706435666377e-172,-1.24567466048918,0.639,0.871,3.15119517913494e-167
"RPLP1",7.83478552610757e-169,-0.920886932291399,0.818,0.938,2.59417583554948e-164
"AQP9",3.55818664092268e-168,-4.40295250104216,0.042,0.268,1.17815117867591e-163
"UBA52",3.69106997785701e-167,-1.17269382290966,0.612,0.836,1.22215018036824e-162
"RPS13",9.4470222287058e-167,-1.28179716590614,0.576,0.83,3.12800353014678e-162
"MYL6",2.5698140005819e-165,-1.28880019652348,0.56,0.819,8.50891113732673e-161
"ID2",1.36399414197431e-164,1.87445228484015,0.73,0.446,4.51632100349114e-160
"RPL17",1.11921032299628e-163,-1.20196841146732,0.616,0.871,3.705817300473e-159
"RPL18A",4.74918382050108e-162,-1.11520414637411,0.651,0.874,1.57250225480611e-157
"RPS4X",7.38722774052496e-162,-1.16747387147563,0.654,0.884,2.44598497716522e-157
"FCER1G",1.32941142184578e-161,-1.32163533020679,0.656,0.847,4.40181415887356e-157
"RPL32",3.04813998033304e-160,-1.05686736433745,0.709,0.898,1.00926962888807e-155
"ENSG00000249988",4.41077961309572e-160,-4.56110182352799,0.009,0.171,1.46045323769212e-155
"S100A8",7.20587530670791e-159,-3.95085473680409,0.066,0.309,2.38593737280406e-154
"HLA-DQB1",6.2955300217123e-158,1.46042657179807,0.791,0.521,2.08451294548916e-153
"PRKCB",5.96877680715306e-157,-1.94288783697129,0.293,0.624,1.97632168861645e-152
"RPL10",1.95854335091546e-155,-1.09592060431362,0.789,0.92,6.48493288921616e-151
"FOLR2",5.68860314852044e-155,-2.75580895710261,0.094,0.362,1.8835533885066e-150
"SVIL",2.43651929450478e-154,-3.27767945203431,0.06,0.297,8.06755903603478e-150
"RASAL2",7.84713194008705e-152,1.81909347328223,0.656,0.331,2.59826385668222e-147
"CST3",3.92891575415336e-151,-0.905791483081606,0.748,0.895,1.30090329535772e-146
"RPS10",1.56216468996263e-150,-1.19239948091606,0.559,0.831,5.17248350493528e-146
"S100A4",2.13177888434824e-150,-1.68831382142442,0.45,0.758,7.05853306396547e-146
"IGLC2",1.11338198959799e-149,7.02756835862841,0.349,0.006,3.68651910575792e-145
"SH3BGRL3",2.20125852512502e-149,-1.26163407637946,0.568,0.811,7.28858710254146e-145
"CHST11",6.22252438751701e-149,1.32183389311529,0.841,0.645,2.06034004995076e-144
"RPS9",1.71995792504492e-148,-1.12940360729207,0.675,0.865,5.69495268561625e-144
"RBP7",1.39234607227368e-146,-4.13552376752866,0.01,0.161,4.61019707990539e-142
"RPS5",2.10717070637619e-146,-1.37301312929994,0.413,0.734,6.97705292588219e-142
"LNCAROD",7.27558208170626e-146,2.21967613151939,0.519,0.147,2.40901798307376e-141
"RPL39",2.34115036383833e-145,-0.979389632770271,0.734,0.877,7.75178296970509e-141
"TMSB10",2.29540839650805e-144,-0.858790555123799,0.865,0.934,7.6003267416778e-140
"HLA-DRB1",2.52886327042722e-144,1.16337165369403,0.878,0.703,8.37331917471156e-140
"TCOF1",3.60745633326703e-144,3.77601769517847,0.444,0.1,1.19446486650805e-139
"EMP3",1.14077251692897e-143,-1.56780287660439,0.365,0.684,3.77721188080351e-139
"RPS2",1.34413135947898e-142,-0.950433674808354,0.691,0.91,4.45055334437085e-138
"ATP2B1",8.22231109648731e-142,-2.05155827051791,0.515,0.78,2.72248942715791e-137
"RPL26",8.39834734841869e-142,-1.12435778183983,0.669,0.874,2.78077679053491e-137
"HIF1A-AS3",6.0304289294048e-141,2.53538615961366,0.516,0.168,1.99673532281522e-136
"RPS7",1.43805095337626e-140,-1.30466021003322,0.572,0.814,4.76153051172413e-136
"ABCG1",3.28758577283986e-140,3.45595095318261,0.433,0.095,1.08855252524501e-135
"LILRA5",4.91293974466647e-140,-5.04730619429998,0.006,0.143,1.62672347885651e-135
"MEF2A",2.11823622901176e-139,1.07723836536087,0.872,0.675,7.01369197788083e-135
"IFITM3",3.41427111337411e-139,-1.55736245512784,0.357,0.667,1.1304993083493e-134
"ZFP36",2.8570946911461e-137,-1.6368404449745,0.582,0.779,9.46012623185384e-133
"TNFRSF1B",5.53779842298086e-137,-1.5223110744979,0.318,0.646,1.83362043583319e-132
"NDUFA4",6.36033022750444e-136,-1.45382449623448,0.3,0.616,2.105968941629e-131
"APOC1",1.59290379414241e-135,1.12029360920924,0.611,0.226,5.27426375278492e-131
"MARCO",1.18677079340036e-134,-3.10980686991185,0.019,0.183,3.92951677402794e-130
"RPL8",5.72470280242035e-134,-1.10146290707101,0.648,0.851,1.8955063449094e-129
"RPL27",7.1465716402574e-133,-1.20970150194346,0.468,0.752,2.36630133580563e-128
"LILRB5",1.66147642970738e-132,-3.551568037836,0.021,0.185,5.5013146064041e-128
"EPB41L2",2.34974139488603e-132,1.70433738062343,0.652,0.341,7.78022873260714e-128
"RPL41",2.37202936389664e-132,-0.9422007123075,0.751,0.9,7.85402642679815e-128
"PLCB1",1.28253669569366e-131,-3.4407822130996,0.049,0.253,4.24660725311128e-127
"FTL",2.628366634765e-131,-1.4515498162914,0.952,0.95,8.70278476437039e-127
"C1orf162",6.81469145969932e-131,-1.47901283718251,0.306,0.618,2.25641248922104e-126
"FRY",2.71843303622878e-130,-3.31249119287783,0.055,0.261,9.00100362625711e-126
"RPL28",4.09742159093858e-130,-0.763426125517233,0.819,0.931,1.35669726297567e-125
"TRA2B",2.37076833501897e-127,1.64676807008215,0.719,0.5,7.84985103408132e-123
"FLNA",1.80512933196064e-126,-1.7146998638289,0.193,0.479,5.97696373105489e-122
"LCP1",2.38143221860631e-126,-1.40531200969521,0.406,0.689,7.88516021902736e-122
"C5AR1",3.13376018280297e-126,-1.42750509519762,0.327,0.637,1.03761933412789e-121
"RPS23",4.85498236288639e-126,-0.933429949351103,0.689,0.893,1.60753321017531e-121
"EEF1G",7.49239092485178e-126,-1.17033765393502,0.441,0.732,2.48080555912767e-121
"RPL15",2.67181322086312e-125,-0.969401761388073,0.675,0.876,8.84664075559986e-121
"RPS3",2.75694656304081e-125,-1.04761205253326,0.583,0.837,9.12852576488444e-121
"RPL34",3.04577813250468e-125,-1.00474290490392,0.705,0.873,1.00848759745362e-120
"BLVRB",6.95361444823285e-125,-1.63026691232035,0.274,0.574,2.30241127995438e-120
"RPS18",1.65668577195219e-124,-0.863739407505628,0.746,0.926,5.48545225951091e-120
"RPL10A",3.47799253003388e-124,-1.20786463366885,0.477,0.764,1.15159810661952e-119
"PDK4",1.34223144329994e-123,-2.06863376770715,0.07,0.293,4.44426253191044e-119
"IER5",6.71060274800812e-123,1.52830166885636,0.642,0.339,2.22194767589297e-118
"S100A6",8.15825173981112e-123,-1.33635743459963,0.493,0.759,2.70127873356886e-118
"SPP1",8.73487829589619e-123,1.58613874664006,0.566,0.205,2.89220555255419e-118
"MT-ND5",1.05823126024876e-122,0.769544054701391,0.969,0.946,3.50390952580967e-118
"VAMP5",1.06830157365697e-122,-2.32361334542333,0.112,0.361,3.5372533405356e-118
"MPEG1",1.39999775865415e-122,-1.73646113347828,0.155,0.434,4.63553257867974e-118
"IFITM2",4.72995838197597e-122,-1.79128969145447,0.197,0.483,1.56613651985606e-117
"COL3A1",2.64951387258646e-121,-5.66256270847654,0.005,0.122,8.77280538352104e-117
"RPL29",2.71257955924947e-121,-1.05529922040537,0.653,0.851,8.98162217863093e-117
"MS4A7",1.50710111028969e-120,-1.2667431049526,0.426,0.718,4.9901624862802e-116
"COL1A1",5.38152652081939e-120,-5.44456547597331,0.014,0.154,1.78187724630851e-115
"CTSS",8.44794059273494e-120,-1.32523952453285,0.656,0.825,2.79719760966046e-115
"PELATON",1.82747998396137e-119,-2.89042679859161,0.066,0.274,6.05096897489449e-115
"IFRD1",5.241843872788e-119,1.91563703167101,0.567,0.268,1.73562692471884e-114
"TFEC",6.5288150749884e-119,1.74521544672922,0.657,0.411,2.16175595947941e-114
"EEF1B2",1.44827732688215e-118,-1.31802889225726,0.402,0.68,4.79539105703948e-114
"CCNL1",7.55726294853871e-117,1.35024842620551,0.728,0.537,2.50228533489065e-112
"MARCHF3",1.78773713095028e-116,2.46758334535607,0.431,0.122,5.91937641428946e-112
"COL1A2",2.06718970616578e-116,-5.17899188188451,0.015,0.152,6.84467183608553e-112
"EEF1D",2.24498408832678e-116,-1.18380305646464,0.398,0.691,7.43336681485881e-112
"FAU",2.92182805049163e-116,-0.936368850848982,0.642,0.84,9.67446485798285e-112
"IGKC",6.12307077735032e-114,2.8461862062371,0.314,0.025,2.02740996508846e-109
"RNASE1",1.050991602901e-113,-2.48978067877557,0.2,0.45,3.47993829636548e-109
"PTPRM",1.12955746522286e-113,2.44341048332724,0.485,0.2,3.74007772309941e-109
"EYA2",1.52080423132205e-113,3.09519427141735,0.38,0.08,5.03553489033043e-109
"LILRB2",2.24694532181718e-113,-2.11882017216836,0.104,0.339,7.43986065506887e-109
"RPL18",2.47034034006114e-113,-0.927876109813411,0.647,0.861,8.17954389997645e-109
"IQCN",2.53678024389837e-113,3.21637253812067,0.357,0.059,8.39953306557188e-109
"ENSG00000253736",1.03057894965589e-112,2.0544145614506,0.581,0.297,3.41234996020563e-108
"COTL1",1.49106538199824e-112,-1.59629429567103,0.45,0.711,4.93706658633438e-108
"MYLIP",1.93515837507908e-112,2.48046693063863,0.439,0.127,6.40750289572433e-108
"HSBP1",1.98601781291999e-112,-1.57849951717867,0.217,0.495,6.57590358035939e-108
"RPL7",1.1281081768507e-111,-1.06437260393944,0.515,0.754,3.73527898437034e-107
"HCST",5.31272192362387e-111,-1.51014468885993,0.305,0.575,1.7590953561311e-106
"RPL11",5.44611013238729e-111,-0.906837225032947,0.719,0.872,1.80326152593476e-106
"RPS6",4.14559422763616e-110,-0.900071394363319,0.66,0.863,1.37264770471261e-105
"POLG2",6.37711266800482e-110,4.15939841391287,0.374,0.086,2.11152577550308e-105
"IGFBP7",2.25546813714887e-109,-3.82476518814149,0.032,0.192,7.46808054891362e-105
"RPS15",2.56221887023772e-109,-0.785414476276521,0.674,0.869,8.48376290124413e-105
"FGR",5.00278066137881e-109,-2.07144058859538,0.108,0.339,1.65647070478914e-104
"CPVL",5.50893879576587e-109,-1.22314080350703,0.367,0.662,1.82406472466604e-104
"RPS28",6.19211358089911e-109,-0.821746637738673,0.675,0.863,2.0502707277715e-104
"MYL12B",1.19515814106092e-108,-1.23927126372168,0.377,0.646,3.9572881208668e-104
"FN1",1.58871603091266e-108,2.04302509758686,0.467,0.155,5.26039764995491e-104
"HIF1A",1.63018186977015e-108,0.973892374089188,0.883,0.7,5.39769518899596e-104
"RPL3",5.90449134527051e-108,-0.98145993386978,0.618,0.845,1.95503612933252e-103
"MS4A4A",1.52259327253148e-107,-1.59423402482049,0.231,0.5,5.04145858467897e-103
"PLEKHG2",3.90343876361592e-107,2.7529334188863,0.452,0.169,1.29246760902087e-102
"SLC4A7",9.91834861619827e-107,1.60490163314762,0.641,0.392,3.28406441030941e-102
"RPL6",2.40578244688674e-106,-0.928734742515827,0.635,0.831,7.96578625988668e-102
"EREG",4.11440892622467e-105,-3.35622533747387,0.078,0.278,1.36232193956225e-100
"ST6GALNAC3",7.30365133828139e-105,-2.6473037792751,0.044,0.216,2.41831199461835e-100
"MGAT4A",7.43291743448363e-105,1.4221987240525,0.639,0.355,2.46111329173188e-100
"MRC1",1.73335255386601e-104,-2.17039824438981,0.273,0.527,5.73930364110575e-100
"CYBA",4.18650724012779e-104,-0.85975186374306,0.686,0.855,1.38619441227871e-99
"BMP2K",1.26828599510593e-103,1.00028933408085,0.771,0.548,4.19942175839525e-99
"BTF3",1.59816216893548e-103,-1.14939349830476,0.395,0.666,5.29167475756226e-99
"SLC38A2",1.1859180617388e-102,1.93773989556469,0.573,0.309,3.92669329422334e-98
"SLC1A3",1.70103168768047e-102,1.53832065118644,0.579,0.265,5.63228602107881e-98
"MAP3K2",2.24139268901902e-102,1.30748967329875,0.692,0.488,7.42147533261088e-98
"RPL19",4.25809764192771e-102,-0.879726302013952,0.69,0.873,1.40989871021869e-97
"ENSG00000249001",5.86880620046648e-102,3.34060674181608,0.309,0.037,1.94322042103646e-97
"SIPA1L1",1.00844185722243e-101,-1.63672014310596,0.628,0.792,3.33905183344917e-97
"MYL12A",4.47413790129949e-101,-1.25002743703113,0.389,0.641,1.48143180049928e-96
"FCGRT",4.4760098708497e-101,-1.21903952535605,0.506,0.746,1.48205162833704e-96
"CLIC1",1.26974464076451e-100,-1.12311117178448,0.396,0.664,4.20425148003535e-96
"NUFIP2",1.87217271844403e-100,2.00278427519779,0.585,0.355,6.19895108804002e-96
"PTP4A2",2.24022377621941e-100,-1.65067659825803,0.192,0.446,7.41760494544009e-96
"CLK1",6.32443554108482e-100,1.62322928060885,0.602,0.361,2.09408385200859e-95
"QKI",1.78987691843485e-99,0.772294462703623,0.912,0.848,5.92646146462962e-95
"ZNF618",2.81864398221994e-99,2.36461676990368,0.431,0.151,9.33281208952844e-95
"ANXA5",7.90909182858157e-99,-1.07647577894485,0.505,0.74,2.61877939536164e-94
"FMNL3",8.06495806655613e-99,2.11828019169608,0.463,0.184,2.6703882654174e-94
"AIF1",1.12278981898545e-98,-1.07953316847161,0.612,0.813,3.71766936964272e-94
"SELENOP",1.58867670754317e-98,-2.64431021276266,0.16,0.392,5.26026744634618e-94
"MAP3K20",3.78163674028254e-98,-1.9959362371555,0.096,0.307,1.25213774107495e-93
"MTSS1",4.4939822766886e-98,-1.57787909645529,0.343,0.61,1.48800247163436e-93
"RPS14",7.74055538280587e-98,-0.830818216029941,0.7,0.875,2.56297529280085e-93
"GSTP1",1.06428952804729e-97,-1.28220995271282,0.324,0.598,3.52396905631739e-93
"IL10",1.66512292407275e-97,-3.27521915071559,0.043,0.205,5.51338851389727e-93
"VSIG4",2.33487028484815e-97,-1.74962762204262,0.175,0.42,7.7309890001607e-93
"AREG",2.67367807153332e-97,-4.16787125577543,0.018,0.144,8.85281546265396e-93
"CD163",2.88246950240074e-97,-1.75523753429302,0.317,0.556,9.54414476939909e-93
"RPS27",3.4661883895737e-97,-0.91556454037176,0.655,0.842,1.14768963767175e-92
"RPS16",9.60118192108633e-97,-0.874398766066649,0.675,0.861,3.1790473458909e-92
"LIPN",3.71719143747245e-96,-4.15421509008925,0.008,0.114,1.2307992568615e-91
"OGFRL1",4.53714656612111e-96,1.49341236915099,0.662,0.443,1.50229459950836e-91
"NACA",8.92857245169544e-96,-1.03241095571347,0.648,0.81,2.95633962448088e-91
"CHCHD2",1.99914112910548e-95,-1.16848264134147,0.373,0.641,6.61935619258115e-91
"B4GALT5",4.66156268880071e-95,-1.81685802060735,0.153,0.388,1.5434900218888e-90
"B2M",4.75681197800721e-95,-0.688734652385276,0.974,0.975,1.57502801403797e-90
"APOC2",5.67003177198508e-95,3.35240263777381,0.282,0.027,1.87740422002198e-90
"PALD1",1.80082161003912e-94,2.82368984929486,0.364,0.099,5.96270043300052e-90
"RPLP0",3.06140544373677e-94,-0.898580430742226,0.517,0.774,1.01366195647568e-89
"KYNU",1.6272181163953e-93,-1.54694751408741,0.425,0.67,5.38788190519649e-89
"PCNX2",1.16554748612144e-92,2.34944564100295,0.408,0.14,3.8592442812967e-88
"GLS",1.41865141325941e-92,1.49647562334705,0.651,0.452,4.69729669444323e-88
"TEX14",2.68834043667771e-92,2.71131067494195,0.489,0.242,8.90136401988357e-88
"LAMP1",6.96560253402848e-92,-1.43405137909732,0.228,0.48,2.30638065504217e-87
"ARPC3",1.47969885544256e-91,-0.958726366095092,0.635,0.802,4.89943088025585e-87
"CARD11",2.10293413341324e-91,3.1597381968774,0.318,0.063,6.96302520914457e-87
"RPL35",2.12974515009406e-91,-0.790572000984848,0.654,0.833,7.05179916647643e-87
"CPQ",2.28340816454412e-91,-1.26300594345188,0.267,0.534,7.56059277362202e-87
"GNA13",2.97536508554885e-91,1.10389292397157,0.766,0.59,9.8517313347608e-87
"GABARAP",3.08059578543988e-91,-0.932142404069325,0.526,0.756,1.020016070517e-86
"TULP2",3.69483709048328e-91,2.71945882692516,0.371,0.106,1.22339750902992e-86
"ENSG00000291174",3.21546795282182e-90,3.28652326370932,0.341,0.085,1.06467359385883e-85
"RPL12",2.90367597939347e-89,-0.769186771966244,0.699,0.861,9.61436153536971e-85
"BCL2A1",9.71308057757939e-89,-1.88327380849612,0.239,0.469,3.21609811004231e-84
"RACK1",1.27699481565218e-88,-0.869675317392075,0.562,0.803,4.22825753410593e-84
"PFN1",1.60881113102584e-88,-0.890986240424488,0.513,0.758,5.32693453593965e-84
"PRKCH",2.72499466557859e-88,1.97016314628478,0.473,0.224,9.02272983719726e-84
"CCL5",3.05602164734945e-88,2.2910258792012,0.342,0.079,1.01187932765388e-83
"GPBAR1",7.81522335722952e-88,-4.45340609752169,0.007,0.103,2.58769860581227e-83
"SQSTM1",1.2065244056458e-87,1.22380748699742,0.724,0.556,3.99492295953379e-83
"ATP5F1E",1.90916522234639e-87,-0.826604279188228,0.592,0.792,6.32143696771114e-83
"SRRM2",5.068053225979e-87,1.06946176766261,0.715,0.546,1.67808310365391e-82
"CFL1",1.59013208538908e-86,-0.959757107159979,0.583,0.78,5.26508634793178e-82
"RPL24",2.8574626510828e-86,-0.865132839856368,0.645,0.82,9.46134458400025e-82
"BHLHE41",5.50664212726568e-86,2.83155618672986,0.317,0.07,1.82330427475894e-81
"RPL7A",7.27142338933915e-86,-0.866418053794156,0.607,0.833,2.40764099844409e-81
"RPS15A",7.71327873932823e-86,-0.842782703558977,0.655,0.837,2.55394372337897e-81
"DDX5",2.93175635610392e-85,0.879271154782802,0.849,0.762,9.7073384706957e-81
"ABRACL",2.93844222960038e-85,-1.86135672942564,0.147,0.361,9.72947606642982e-81
"RPL23A",3.20379212961743e-85,-0.923234813131395,0.574,0.785,1.06080761203763e-80
"VIM",1.53096708299647e-84,-0.837968831280891,0.691,0.867,5.0691851085096e-80
"SDCCAG8",1.66006306218854e-84,1.14013612556118,0.682,0.477,5.49663480521246e-80
"POLR2L",1.99579983263326e-84,-1.44506417249938,0.195,0.431,6.608292825832e-80
"RPS19",3.23385424667077e-84,-0.85524363172244,0.757,0.9,1.07076147961516e-79
"POLR2A",3.55492228166804e-84,2.37255243936117,0.457,0.209,1.1770703166831e-79
"CD55",4.64917203650629e-84,-1.684468800818,0.207,0.444,1.5393873530076e-79
"TESC",5.76505983103279e-84,-3.81696701931291,0.012,0.114,1.90886896065327e-79
"VASH1",4.19811512122448e-83,2.47201161012392,0.361,0.116,1.39003789778864e-78
"SOCS3",9.61601666231023e-83,-2.16702663456893,0.147,0.348,3.18395927705754e-78
"CD69",4.87563503818486e-82,2.55317101025866,0.352,0.106,1.61437151749339e-77
"CRIP1",8.91238318365131e-82,-2.80451783474556,0.131,0.323,2.95097919593878e-77
"SLC8A1",9.69191239871139e-82,0.829495289942462,0.884,0.795,3.20908911433733e-77
"ST3GAL6",1.18397469032982e-81,1.61039919060523,0.538,0.303,3.92025859715108e-77
"SULF2",1.19343986491575e-81,-2.11126300613092,0.081,0.259,3.95159873672253e-77
"F13A1",1.24949107838287e-81,-2.24736737840873,0.246,0.459,4.13718990963353e-77
"YME1L1",1.91870807818383e-81,1.72032467867066,0.544,0.331,6.35303431767449e-77
"CCL2",3.22181300120345e-81,-2.41334511743065,0.177,0.388,1.06677450282847e-76
"COMMD6",1.95559876928785e-80,-1.16422804445427,0.25,0.495,6.475183084989e-76
"DBI",2.79418513029275e-80,-1.26583813224894,0.317,0.555,9.25182638491233e-76
"GPRIN3",2.98481235200811e-80,1.48329831962343,0.543,0.306,9.88301217873405e-76
"CLEC12A",4.14237066430712e-80,-1.98538454913932,0.076,0.253,1.37158035065873e-75
"CAPZA2",5.33177233727976e-80,-1.05059168096195,0.348,0.614,1.7654031385967e-75
"MRC2",5.89572900946424e-80,2.97741150991607,0.299,0.068,1.9521348323237e-75
"LINC01619",6.45423871231765e-80,2.30570174382339,0.451,0.208,2.1370629800355e-75
"TYMP",6.57834105024198e-80,-0.876878730273013,0.609,0.798,2.17815450514562e-75
"SH3BP5",4.98093051280191e-79,-1.18346870106547,0.179,0.408,1.64923590209384e-74
"RGS16",7.67336626031867e-79,4.17468398445589,0.243,0.027,2.54072830245411e-74
"AGFG1",1.87692807689658e-78,-1.25247578638606,0.285,0.537,6.21469655541226e-74
"POMP",3.01444590688984e-78,-1.11311169550342,0.364,0.6,9.98113184230296e-74
"TRAPPC5",4.8148283368396e-78,-1.25524777646385,0.283,0.52,1.59423781061096e-73
"ARHGAP22",9.29349771062436e-78,1.50941823930565,0.547,0.318,3.07717002696483e-73
"LILRA6",9.33724907589644e-78,-2.95676178288258,0.017,0.124,3.09165654152007e-73
"LGALS2",1.40978544819309e-77,-3.03196384051941,0.024,0.141,4.66794059751215e-73
"UCP2",1.80231331449675e-77,-1.34166795943648,0.25,0.485,5.96763961563018e-73
"P2RX1",2.82503087497897e-77,-2.88708491585131,0.02,0.13,9.35395973014287e-73
"TBC1D22A",3.04588881783539e-77,0.862531754247869,0.785,0.638,1.00852424647348e-72
"ATP5PB",3.66320736835915e-77,-1.33427729658467,0.18,0.408,1.2129245917374e-72
"SRP9",5.24452772666665e-77,-1.34713880979488,0.134,0.343,1.73651557557659e-72
"CD52",7.02657746806141e-77,-2.04074611193887,0.132,0.328,2.32657006544981e-72
"IFI27",1.67427825726186e-76,1.61410206270094,0.418,0.158,5.54370273761974e-72
"SORL1",2.65146832866202e-76,1.46424901940377,0.536,0.307,8.77927678303281e-72
"ARHGAP18",4.82678963523692e-76,0.89315836796706,0.74,0.55,1.5981983161233e-71
"RPL35A",1.27915958387967e-75,-0.875577894837866,0.58,0.775,4.23542529818399e-71
"AP2S1",1.31279015050766e-75,-1.13760671090281,0.337,0.578,4.34677946734593e-71
"FOXN3",2.56879617920401e-75,0.775786282229345,0.862,0.758,8.50554102896239e-71
"GLIPR2",2.72370960806841e-75,-1.19162526164899,0.189,0.419,9.01847488327532e-71
"DOCK8",3.90617406861458e-75,0.837293337706293,0.835,0.718,1.29337329585897e-70
"TAGLN",4.09808340282951e-75,-3.47656890662326,0.035,0.165,1.35691639551088e-70
"SERF2",5.46029176533353e-75,-0.682293856124327,0.699,0.851,1.80795720641958e-70
"ADAP2",5.88118661500222e-75,1.17025697463484,0.683,0.505,1.94731970009339e-70
"ELMO1",6.19986637237519e-75,0.877377821938438,0.799,0.672,2.05283775455715e-70
"PLPP3",9.4732865459137e-75,-1.82470545980287,0.034,0.165,3.13669990821749e-70
"PAPSS2",4.29451258768806e-74,-1.53203065444598,0.237,0.467,1.42195606290939e-69
"DNMBP",5.32640772979466e-74,-2.09387769961183,0.076,0.24,1.76362686341231e-69
"SECTM1",6.32191641262296e-74,-2.47689286708646,0.027,0.145,2.09324974338359e-69
"DOCK10",1.00928619581826e-73,0.782196224906966,0.778,0.626,3.34184752297383e-69
"CAMK1D",1.0838336274538e-73,0.860267228591947,0.77,0.614,3.58868152386227e-69
"SERP1",1.13895635367119e-73,-1.03213349232633,0.363,0.604,3.77119838264069e-69
"SUMO2",1.30986900701029e-73,-1.08567367095962,0.337,0.578,4.33710726911177e-69
"RPL22",2.05379123598296e-73,-0.766029863996499,0.591,0.782,6.80030816146317e-69
"KCNMA1",3.91491235337589e-73,2.12357312931024,0.343,0.108,1.29626662932629e-68
